birthYear,date,education,employmentStatus,ethnicity,gender,id,income,maritalStatus,participantRSA,participateReason,race,residenceCountry,session
1994,"Sun, 11 Feb 2018 08:58:11 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1539,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",1539,Recommendation of employer,White/European origin,Canada,PRE
1994,"Thu, 15 Feb 2018 20:46:37 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1545,"$35,000 through $49,999",Single,1545,Planned search for this topic in particular,White/European origin,United States,PRE
1994,"Fri, 16 Feb 2018 19:29:09 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1546,"$100,000 through $149,999",Single,1546,Link from education site,White/European origin,United States,PRE
1994,"Wed, 28 Feb 2018 21:26:18 -0500",Some Graduate School,Student,Not Hispanic or Latino,Female,1571,"$16,000 through $24,999","Single, but currently living with someone in a marriage-like relationship",1571,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1994,"Thu, 12 Jan 2017 22:12:29 -0500",Bachelor's Degree,Looking for work,Not Hispanic or Latino,Female,1069,"$25,000 through $34,999","Single, but currently engaged to be married",1069,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1994,"Fri, 08 Jul 2016 20:46:51 -0500",Some College,Student,Not Hispanic or Latino,Female,502,Prefer not to answer,"Single, but currently living with someone in a marriage-like relationship",502,Link from education site,White/European origin,United States,PRE
1994,"Sun, 08 Jul 2018 12:42:22 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1718,"$50,000 through $74,999","Single, but currently engaged to be married",1718,Link from education site,White/European origin,United States,PRE
1994,"Thu, 14 Jul 2016 21:07:58 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Female,513,"$5,000 through $11,999",Married,513,Craigslist Ad,White/European origin,United States,PRE
1994,"Wed, 26 Jul 2017 02:58:48 -0500",Some High School,Looking for work,Not Hispanic or Latino,Male,1271,"$12,000 through $15,999",Single,1271,Link from education site,White/European origin,Canada,PRE
1994,"Thu, 23 Jun 2016 15:45:05 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,462,Don't know,Single,462,Link from education site,White/European origin,United States,PRE
1994,"Tue, 28 Jun 2016 10:20:24 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,477,"$16,000 through $24,999","Single, but casually dating",477,Craigslist Ad,White/European origin,United States,PRE
1994,"Thu, 23 Mar 2017 01:47:46 -0500",High School Graduate,Working part-time,Not Hispanic or Latino,Female,1152,"$16,000 through $24,999","Single, but casually dating",1152,Recommendation of teacher,White/European origin,United States,PRE
1994,"Fri, 23 Mar 2018 19:54:28 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,1612,"$5,000 through $11,999",Single,1612,Other,White/European origin,Australia,PRE
1994,"Thu, 29 Mar 2018 12:20:20 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1620,"$25,000 through $34,999",Single,1620,Link from education site,White/European origin,United States,PRE
1994,"Thu, 30 Mar 2017 16:35:45 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,1163,"$5,000 through $11,999",Single,1163,Facebook post,White/European origin,United States,PRE
1994,"Fri, 03 Nov 2017 02:44:22 -0500",Some College,Looking for work,Prefer not to answer,Male,1406,Don't know,Single,1406,Just surfing the web,White/European origin,United States,PRE
1994,"Mon, 06 Nov 2017 11:00:09 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,1411,Don't know,"Single, but casually dating",1411,Link from education site,White/European origin,Netherlands,PRE
1994,"Thu, 10 Nov 2016 21:24:05 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,996,"$5,000 through $11,999","Single, but casually dating",996,Link from education site,White/European origin,United States,PRE
1994,"Tue, 13 Nov 2018 19:03:24 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1917,"$25,000 through $34,999",Single,1917,Other,South Asian,United States,PRE
1994,"Fri, 18 Nov 2016 14:36:03 -0500",Some College,Student,Not Hispanic or Latino,Female,1015,"Less than $5,000","Single, but casually dating",1015,Recommendation of teacher,White/European origin,United States,PRE
1994,"Fri, 18 Nov 2016 17:33:02 -0500",Some College,Student,Not Hispanic or Latino,Male,1016,Don't know,"Single, but casually dating",1016,Link from education site,White/European origin,United States,PRE
1994,"Tue, 27 Nov 2018 15:45:15 -0500",High School Graduate,Working part-time,Not Hispanic or Latino,Female,1930,"$100,000 through $149,999",Married,1930,Advertisement from other sources,White/European origin,United States,PRE
1994,"Wed, 03 Oct 2018 09:16:04 -0500",Some College,Unemployed or laid off,Not Hispanic or Latino,Male,1859,"$5,000 through $11,999","Single, but currently living with someone in a marriage-like relationship",1859,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1994,"Thu, 06 Oct 2016 19:20:20 -0500",Some College,Other,Not Hispanic or Latino,Male,826,Don't know,"Single, but casually dating",826,News story,White/European origin,Greece,PRE
1994,"Fri, 14 Oct 2016 14:58:06 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,841,"$5,000 through $11,999",Single,841,Link from education site,White/European origin,United States,PRE
1994,"Thu, 27 Oct 2016 18:35:16 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,956,"Less than $5,000",Single,956,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1994,"Fri, 02 Sep 2016 15:09:45 -0500",Associate's Degree,Student,Hispanic or Latino,Female,611,Prefer not to answer,"Single, but currently living with someone in a marriage-like relationship",611,Advertisement from other sources,Other or Unknown,United States,PRE
1994,"Mon, 05 Sep 2016 11:04:16 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,613,Don't know,Single,613,Other,South Asian,India,PRE
1994,"Wed, 14 Sep 2016 11:35:37 -0500",Some College,Student,Not Hispanic or Latino,Female,625,Don't know,Single,625,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1994,"Thu, 15 Sep 2016 03:48:58 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,628,"$5,000 through $11,999","Single, but currently living with someone in a marriage-like relationship",628,Just surfing the web,White/European origin,United States,PRE
1994,"Fri, 16 Sep 2016 13:14:35 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,675,"$50,000 through $74,999","Single, but casually dating",675,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1994,"Sat, 17 Sep 2016 15:22:08 -0500",Bachelor's Degree,Looking for work,Not Hispanic or Latino,Female,716,Prefer not to answer,Single,716,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1994,"Sun, 18 Sep 2016 14:42:53 -0500",Some Graduate School,Retired,Not Hispanic or Latino,Female,731,Don't know,Single,731,Facebook post,White/European origin,New Zealand,PRE
1994,"Mon, 19 Sep 2016 16:20:58 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,754,Prefer not to answer,Single,754,Facebook post,White/European origin,United States,PRE
1994,"Tue, 19 Sep 2017 22:39:28 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,1356,"$75,000 through $99,999","Single, but casually dating",1356,"Recommendation of health professional (e.g., therapist or general practitioner)",South Asian,United States,PRE
1994,"Tue, 20 Sep 2016 20:21:57 -0500",Some College,Student,Not Hispanic or Latino,Female,765,Prefer not to answer,"Single, but casually dating",765,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1994,"Mon, 26 Sep 2016 18:07:47 -0500",Some College,Working part-time,Not Hispanic or Latino,Male,800,"Less than $5,000",Single,800,Recommendation of teacher,Black/African origin,United States,PRE
1994,"Tue, 26 Sep 2017 16:27:16 -0500",Some Graduate School,Student,Not Hispanic or Latino,Female,1368,"$5,000 through $11,999","Single, but currently living with someone in a marriage-like relationship",1368,Advertisement from other sources,East Asian,United States,PRE
1995,"Sun, 15 Apr 2018 19:08:31 -0500",Bachelor's Degree,Working full-time,Prefer not to answer,Male,1643,"$25,000 through $34,999",Single,1643,Link from education site,Prefer not to answer,Guatemala,PRE
1995,"Mon, 23 Apr 2018 14:41:17 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,1657,"Less than $5,000",Single,1657,Recommendation of teacher,Black/African origin,United States,PRE
1995,"Sat, 13 Aug 2016 14:24:09 -0500",Some College,Looking for work,Hispanic or Latino,Male,546,"$35,000 through $49,999",Single,546,Other,Other or Unknown,United States,PRE
1995,"Thu, 23 Aug 2018 01:05:44 -0500",Bachelor's Degree,Student,Hispanic or Latino,Male,1764,"Less than $5,000",Single,1764,Just surfing the web,White/European origin,United States,PRE
1995,"Fri, 31 Aug 2018 20:52:17 -0500",Associate's Degree,Other,Prefer not to answer,Other,1799,Prefer not to answer,Other,1799,Recommendation of teacher,White/European origin,United States,PRE
1995,"Sat, 16 Dec 2017 07:59:02 -0500",Master's Degree,Student,Not Hispanic or Latino,Male,1454,Don't know,Single,1454,Advertisement from other sources,White/European origin,Ireland,PRE
1995,"Mon, 18 Dec 2017 10:36:58 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,1455,Don't know,Single,1455,Just surfing the web,White/European origin,Austria,PRE
1995,"Fri, 02 Feb 2018 17:07:20 -0500",Diploma di scuola superiore,Lavoro part-time,Sconosciuto,Femmina,1511,"$ 5,000 a $ 11999","Single, ma attualmente fidanzato",1511,Basta navigare sul web,Bianco / origine europea,Italy,PRE
1995,"Tue, 06 Feb 2018 13:02:59 -0500",Some Graduate School,Student,Not Hispanic or Latino,Female,1527,"Less than $5,000","Single, but casually dating",1527,Link from education site,White/European origin,United States,PRE
1995,"Wed, 07 Feb 2018 03:18:31 -0500",Some High School,Student,Prefer not to answer,Male,1528,Prefer not to answer,Single,1528,Link from education site,Prefer not to answer,Saudi Arabia,PRE
1995,"Thu, 08 Feb 2018 14:06:38 -0500",Bachelor's Degree,Other,Not Hispanic or Latino,Female,1531,"$25,000 through $34,999","Single, but casually dating",1531,Link from education site,Black/African origin,United States,PRE
1995,"Sat, 11 Feb 2017 10:36:24 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,1104,"$150,000 through $199,999",Single,1104,Link from education site,White/European origin,United States,PRE
1995,"Sat, 11 Feb 2017 11:12:05 -0500",Associate's Degree,Student,Hispanic or Latino,Female,1105,"Less than $5,000",Single,1105,Link from education site,White/European origin,United States,PRE
1995,"Thu, 16 Feb 2017 18:48:12 -0500",Some College,Student,Not Hispanic or Latino,Female,1112,"$35,000 through $49,999",Single,1112,Advertisement from other sources,White/European origin,United States,PRE
1995,"Mon, 20 Feb 2017 18:16:23 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,1118,"Less than $5,000",Single,1118,Link from education site,White/European origin,United States,PRE
1995,"Sat, 14 Jan 2017 17:47:14 -0500",High School Graduate,Student,Not Hispanic or Latino,Male,1072,"$200,000 through $249,999","Single, but casually dating",1072,Link from education site,White/European origin,Australia,PRE
1995,"Sun, 21 Jan 2018 23:46:03 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Male,1494,"$12,000 through $15,999",Single,1494,Just surfing the web,South Asian,Canada,PRE
1995,"Wed, 25 Jan 2017 10:36:22 -0500",Other Advanced Degree,Student,Not Hispanic or Latino,Male,1082,Don't know,Single,1082,Planned search for information related to this topic,White/European origin,South Africa,PRE
1995,"Sun, 03 Jul 2016 10:31:35 -0500",Some College,Student,Hispanic or Latino,Female,491,"Less than $5,000","Single, but casually dating",491,Craigslist Ad,American Indian/Alaska Native,United States,PRE
1995,"Sat, 07 Jul 2018 23:41:34 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Other,1717,"$25,000 through $34,999","Single, but currently living with someone in a marriage-like relationship",1717,Other,White/European origin,United States,PRE
1995,"Sun, 22 Jul 2018 14:30:02 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,1732,"$5,000 through $11,999",Single,1732,Other,White/European origin,Germany,PRE
1995,"Wed, 15 Jun 2016 08:16:19 -0500",Some College,Working full-time,Not Hispanic or Latino,Male,440,"$25,000 through $34,999","Single, but casually dating",440,Recommendation of employer,White/European origin,United Kingdom,PRE
1995,"Wed, 15 Jun 2016 13:34:31 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,443,"$12,000 through $15,999",Single,443,Facebook post,White/European origin,United States,PRE
1995,"Mon, 27 Jun 2016 17:55:48 -0500",High School Graduate,Student,Hispanic or Latino,Male,470,"$35,000 through $49,999",Single,470,Craigslist Ad,Other or Unknown,United States,PRE
1995,"Mon, 05 Mar 2018 15:25:11 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Male,1585,"$12,000 through $15,999",Single,1585,Other,White/European origin,Portugal,PRE
1995,"Sat, 10 Mar 2018 08:34:53 -0500",Some College,Working full-time,Not Hispanic or Latino,Male,1591,"$16,000 through $24,999",Single,1591,Link from education site,White/European origin,United Kingdom,PRE
1995,"Thu, 29 Mar 2018 17:42:35 -0500",Some College,Student,Prefer not to answer,Female,1621,"Less than $5,000","Single, but casually dating",1621,Link from education site,White/European origin,United States,PRE
1995,"Sat, 31 Mar 2018 19:05:29 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1623,"$50,000 through $74,999",Single,1623,Other,White/European origin,Canada,PRE
1995,"Wed, 17 May 2017 20:44:30 -0500",Some College,Student,Not Hispanic or Latino,Male,1200,Don't know,Single,1200,Other,White/European origin,United States,PRE
1995,"Sun, 04 Nov 2018 15:10:58 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1910,"$75,000 through $99,999",Single,1910,Link from education site,Black/African origin,United States,PRE
1995,"Sun, 13 Nov 2016 03:53:44 -0500",High School Graduate,Student,Hispanic or Latino,Male,999,"$5,000 through $11,999",Single,999,Just surfing the web,White/European origin,Spain,PRE
1995,"Sat, 17 Nov 2018 10:45:26 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,1922,"$5,000 through $11,999","Single, but currently living with someone in a marriage-like relationship",1922,Link from education site,White/European origin,United States,PRE
1995,"Mon, 27 Nov 2017 20:13:22 -0500",Some College,Student,Not Hispanic or Latino,Female,1336,"$75,000 through $99,999","Single, but casually dating",1336,Link from education site,White/European origin,United States,PRE
1995,"Sat, 14 Oct 2017 01:53:33 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Male,1388,"Less than $5,000",Single,1388,Planned search for this topic in particular,South Asian,India,PRE
1995,"Mon, 15 Oct 2018 15:39:51 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1882,"$25,000 through $34,999","Single, but casually dating",1882,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1995,"Mon, 17 Oct 2016 18:28:04 -0500",Associate's Degree,Working part-time,Not Hispanic or Latino,Female,850,Don't know,"Single, but casually dating",850,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1995,"Wed, 19 Oct 2016 12:01:15 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,867,"$5,000 through $11,999","Single, but casually dating",867,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1995,"Fri, 16 Sep 2016 11:53:11 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,671,"$250,000 or greater","Single, but casually dating",671,News story,White/European origin,United States,PRE
1995,"Fri, 21 Sep 2018 18:15:53 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,1847,"Less than $5,000","Single, but casually dating",1847,Link from education site,White/European origin,United States,PRE
1995,"Sat, 22 Sep 2018 11:52:17 -0500",Some College,Student,Unknown,Female,1848,Don't know,Single,1848,Recommendation of teacher,Other or Unknown,France,PRE
1995,"Tue, 26 Sep 2017 15:27:50 -0500",Some Graduate School,Student,Not Hispanic or Latino,Female,1367,"$16,000 through $24,999",Single,1367,Planned search for this topic in particular,White/European origin,United States,PRE
1995,"Tue, 27 Sep 2016 22:58:33 -0500",Some College,Student,Not Hispanic or Latino,Female,808,Don't know,"Single, but casually dating",808,Planned search for information related to this topic,White/European origin,United States,PRE
1996,"Thu, 05 Apr 2018 14:44:46 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,1627,"$75,000 through $99,999",Single,1627,Link from education site,White/European origin,United States,PRE
1996,"Sun, 08 Apr 2018 23:59:25 -0500",Associate's Degree,Working part-time,Not Hispanic or Latino,Transgender,1630,"$5,000 through $11,999",Single,1630,Link from education site,White/European origin,United States,PRE
1996,"Wed, 12 Apr 2017 15:24:58 -0500",Bachelor's Degree,Working part-time,Unknown,Male,1178,"Less than $5,000",Single,1178,Just surfing the web,White/European origin,Albania,PRE
1996,"Thu, 12 Apr 2018 14:10:42 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,1639,"$5,000 through $11,999","Single, but casually dating",1639,Link from education site,White/European origin,United States,PRE
1996,"Wed, 18 Apr 2018 08:27:00 -0500",Some College,Student,Hispanic or Latino,Male,1647,"$16,000 through $24,999",Single,1647,Just surfing the web,Other or Unknown,Spain,PRE
1996,"Thu, 19 Apr 2018 22:03:34 -0500",Some College,Student,Not Hispanic or Latino,Female,1651,Prefer not to answer,"Single, but casually dating",1651,Link from education site,White/European origin,United States,PRE
1996,"Mon, 30 Apr 2018 16:13:14 -0500",Bachelor's Degree,Looking for work,Not Hispanic or Latino,Female,1655,"Less than $5,000",Single,1655,Just surfing the web,Other or Unknown,United States,PRE
1996,"Tue, 30 Aug 2016 09:40:02 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,605,Don't know,"Single, but currently living with someone in a marriage-like relationship",605,Planned search for information related to this topic,White/European origin,United Kingdom,PRE
1996,"Sun, 04 Dec 2016 17:50:08 -0500",Some College,Student,Not Hispanic or Latino,Female,1041,"$50,000 through $74,999",Single,1041,Link from education site,White/European origin,United States,PRE
1996,"Tue, 05 Dec 2017 13:38:00 -0500",Some College,Student,Not Hispanic or Latino,Female,1443,"$5,000 through $11,999",Single,1443,"Link from blog, chat, or discussion thread",Black/African origin,United States,PRE
1996,"Tue, 05 Dec 2017 22:15:29 -0500",Some College,Student,Hispanic or Latino,Female,1444,"Less than $5,000","Single, but currently living with someone in a marriage-like relationship",1444,Link from education site,White/European origin,United States,PRE
1996,"Sun, 11 Dec 2016 22:18:12 -0500",Some College,Working part-time,Not Hispanic or Latino,Transgender,1048,"$5,000 through $11,999","Single, but currently living with someone in a marriage-like relationship",1048,Link from education site,White/European origin,United States,PRE
1996,"Fri, 15 Dec 2017 13:30:52 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1453,"$16,000 through $24,999","Single, but casually dating",1453,Recommendation of teacher,South Asian,United States,PRE
1996,"Tue, 18 Dec 2018 13:09:14 -0500",Some College,Looking for work,Not Hispanic or Latino,Transgender,1953,Don't know,"Single, but casually dating",1953,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1996,"Thu, 01 Feb 2018 14:17:13 -0500",Some College,Student,Unknown,Female,1507,"$250,000 or greater",Single,1507,Recommendation of employer,White/European origin,Australia,PRE
1996,"Sat, 11 Feb 2017 15:33:20 -0500",,Student,Not Hispanic or Latino,Female,1107,"Less than $5,000","Single, but casually dating",1107,Link from education site,East Asian,China,PRE
1996,"Mon, 12 Feb 2018 23:17:23 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Other,1541,Don't know,Single,1541,Link from education site,Other or Unknown,United States,PRE
1996,"Mon, 20 Feb 2017 07:57:57 -0500",Some College,Student,Not Hispanic or Latino,Female,1117,Prefer not to answer,Single,1117,Link from education site,East Asian,China,PRE
1996,"Wed, 21 Feb 2018 11:52:05 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,1552,"Less than $5,000",Single,1552,Other,Black/African origin,United States,PRE
1996,"Tue, 27 Feb 2018 20:13:54 -0500",Some College,Student,Not Hispanic or Latino,Female,1569,"$100,000 through $149,999","Single, but casually dating",1569,Link from education site,White/European origin,United States,PRE
1996,"Thu, 04 Jan 2018 23:17:02 -0500",Some College,Student,Not Hispanic or Latino,Female,1474,"$250,000 or greater",Single,1474,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1996,"Sun, 13 Jan 2019 07:06:38 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,1964,Don't know,Single,1964,Planned search for information related to this topic,South Asian,India,PRE
1996,"Tue, 15 Jan 2019 19:20:41 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,1965,"Less than $5,000",Single,1965,Link from education site,White/European origin,Turkey,PRE
1996,"Wed, 16 Jan 2019 13:34:36 -0500",Associate's Degree,Working full-time,Not Hispanic or Latino,Female,1966,"$12,000 through $15,999","Single, but currently living with someone in a marriage-like relationship",1966,Recommendation of teacher,White/European origin,United States,PRE
1996,"Fri, 18 Jan 2019 13:46:38 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Female,1970,"$35,000 through $49,999","Single, but currently living with someone in a marriage-like relationship",1970,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1996,"Fri, 26 Jan 2018 03:26:43 -0500",Some College,Unemployed or laid off,Not Hispanic or Latino,Female,1501,"$50,000 through $74,999",Single,1501,Link from education site,South Asian,Canada,PRE
1996,"Sun, 02 Jul 2017 18:23:56 -0500",Some High School,Looking for work,Hispanic or Latino,Other,1243,"Less than $5,000","Single, but currently living with someone in a marriage-like relationship",1243,Advertisement from other sources,White/European origin,France,PRE
1996,"Mon, 04 Jul 2016 10:52:30 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,495,Don't know,Single,495,Just surfing the web,White/European origin,United States,PRE
1996,"Tue, 04 Jul 2017 01:06:02 -0500",M.D.,Student,Not Hispanic or Latino,Female,1245,"Less than $5,000",Single,1245,Link from education site,White/European origin,Turkey,PRE
1996,"Tue, 11 Jul 2017 08:43:49 -0500",Some College,Student,Not Hispanic or Latino,Female,1254,Don't know,"Single, but casually dating",1254,Link from education site,White/European origin,United Kingdom,PRE
1996,"Tue, 11 Jul 2017 10:42:40 -0500",Some College,Student,Not Hispanic or Latino,Female,1256,"$250,000 or greater","Single, but casually dating",1256,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1996,"Wed, 20 Jul 2016 14:41:52 -0500",Some Graduate School,Student,Not Hispanic or Latino,Female,519,Don't know,"Single, but casually dating",519,"Link from blog, chat, or discussion thread",White/European origin,United Kingdom,PRE
1996,"Tue, 25 Jul 2017 10:07:48 -0500",Bachelor's Degree,Student,Prefer not to answer,Female,1268,"$5,000 through $11,999","Single, but casually dating",1268,Facebook post,South Asian,India,PRE
1996,"Fri, 28 Jul 2017 11:20:21 -0500",Some College,Student,Not Hispanic or Latino,Male,1286,Don't know,Single,1286,Facebook post,White/European origin,United States,PRE
1996,"Mon, 13 Jun 2016 15:33:31 -0500",Some College,Student,Not Hispanic or Latino,Female,435,Prefer not to answer,Single,435,Planned search for information related to this topic,White/European origin,United States,PRE
1996,"Fri, 17 Jun 2016 08:34:14 -0500",Some College,Working part-time,Not Hispanic or Latino,Male,447,"$35,000 through $49,999",Single,447,Planned search for information related to this topic,White/European origin,United States,PRE
1996,"Sat, 18 Jun 2016 01:14:43 -0500",High School Graduate,Student,Unknown,Female,452,Prefer not to answer,Single,452,Advertisement from other sources,South Asian,India,PRE
1996,"Wed, 21 Jun 2017 16:44:48 -0500",Some College,Student,Not Hispanic or Latino,Female,1239,Prefer not to answer,"Single, but casually dating",1239,Other,White/European origin,United States,PRE
1996,"Sun, 05 Mar 2017 22:48:09 -0500",Some College,Student,Not Hispanic or Latino,Female,1132,Prefer not to answer,"Single, but casually dating",1132,Recommendation of teacher,White/European origin,United States,PRE
1996,"Mon, 05 Mar 2018 06:31:49 -0500",Prefer not to answer,Student,Not Hispanic or Latino,Female,1583,Don't know,"Single, but casually dating",1583,Just surfing the web,White/European origin,United Kingdom,PRE
1996,"Mon, 12 Mar 2018 17:09:03 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,1596,Don't know,"Single, but casually dating",1596,Recommendation of teacher,White/European origin,United States,PRE
1996,"Mon, 13 Mar 2017 01:25:45 -0500",Some High School,Working part-time,Not Hispanic or Latino,Female,1140,"$12,000 through $15,999","Single, but currently living with someone in a marriage-like relationship",1140,Other,White/European origin,United States,PRE
1996,"Mon, 20 Mar 2017 11:20:52 -0500",Some College,Student,Not Hispanic or Latino,Female,1148,"Less than $5,000","Single, but casually dating",1148,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1996,"Wed, 28 Mar 2018 19:31:15 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1619,"$25,000 through $34,999","Single, but currently living with someone in a marriage-like relationship",1619,Recommendation of teacher,White/European origin,United States,PRE
1996,"Mon, 07 May 2018 13:13:30 -0500",Master's Degree,Student,Not Hispanic or Latino,Female,1668,Don't know,Single,1668,Just surfing the web,White/European origin,France,PRE
1996,"Mon, 16 May 2016 15:11:36 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Female,17,"$5,000 through $11,999","Single, but casually dating",17,Just surfing the web,Black/African origin,United States,PRE
1996,"Thu, 24 May 2018 20:56:13 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,1684,Don't know,"Single, but casually dating",1684,Just surfing the web,White/European origin,United States,PRE
1996,"Tue, 01 Nov 2016 17:32:46 -0500",Some College,Student,Not Hispanic or Latino,Female,974,Don't know,Single,974,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1996,"Wed, 02 Nov 2016 23:41:58 -0500",Some College,Student,Not Hispanic or Latino,Female,979,Prefer not to answer,"Single, but casually dating",979,"Recommendation of friend, family , acquaintance, or colleague",Other or Unknown,United States,PRE
1996,"Sun, 05 Nov 2017 21:23:54 -0500",Some College,Student,Not Hispanic or Latino,Female,1410,"Less than $5,000","Single, but casually dating",1410,Other,White/European origin,United States,PRE
1996,"Tue, 15 Nov 2016 21:53:16 -0500",High School Graduate,Student,Not Hispanic or Latino,Male,1009,"$50,000 through $74,999","Single, but casually dating",1009,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1996,"Mon, 21 Nov 2016 15:22:28 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,1019,"Less than $5,000","Single, but currently engaged to be married",1019,Link from education site,White/European origin,United States,PRE
1996,"Tue, 21 Nov 2017 22:44:30 -0500",Some College,Student,Not Hispanic or Latino,Female,1423,Don't know,Single,1423,Link from education site,White/European origin,United States,PRE
1996,"Sun, 26 Nov 2017 17:49:14 -0500",Some College,Student,Not Hispanic or Latino,Female,1426,"$50,000 through $74,999",Single,1426,Facebook post,White/European origin,United States,PRE
1996,"Mon, 26 Nov 2018 22:58:11 -0500",Some College,Student,Not Hispanic or Latino,Male,1929,"$75,000 through $99,999",Single,1929,Recommendation of teacher,White/European origin,United States,PRE
1996,"Wed, 29 Nov 2017 16:04:58 -0500",Some College,Student,Not Hispanic or Latino,Male,1438,"$150,000 through $199,999",Single,1438,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1996,"Wed, 03 Oct 2018 12:20:32 -0500",Some College,Student,Not Hispanic or Latino,Female,1861,Don't know,Single,1861,Link from education site,White/European origin,"Macedonia, The Former Yugoslav Republic Of",PRE
1996,"Mon, 10 Oct 2016 11:03:48 -0500",Some College,Student,Not Hispanic or Latino,Female,834,Don't know,Single,834,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1996,"Sun, 21 Oct 2018 17:15:42 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,1892,Don't know,Single,1892,Recommendation of teacher,White/European origin,Sweden,PRE
